Model,Set,MAE,RMSE,MAPE,R2,Adjusted R2
LSTM Price,Validation,0.21917884062762705,0.28743967206597903,5.623617621124522,-0.0008549501806671689,-0.010053334310994977
LSTM Price,Test,0.22726535141828685,0.3029239207271652,5.89152438242048,-4.008212882489204e-06,-0.00919457173834548
LSTM Load,Validation,0.14448019618979696,0.16778237187799974,1.411294576613146,-0.0005458135832945299,-0.010813268853611557
LSTM Load,Test,0.14619994829602706,0.16978892663492381,1.4274368479791217,-0.0001440604744260554,-0.010407393012910937
LR Price,Validation,0.1395834598280304,0.18676690797380793,3.557002977645603,0.5780670182122631,0.5742218525878393
LR Price,Test,0.13895996724661144,0.18845600390404124,3.574731789679195,0.6144665679800663,0.6109531192480234
LR Load,Validation,0.03762112136020975,0.04730006689309124,0.3668208378774757,0.9205041242826494,0.9196952188806132
LR Load,Test,0.03868974728853652,0.051008208576631055,0.3770939066322627,0.9099370128019864,0.9090205824059364
RF Price,Validation,0.06816055644623945,0.10342150125341988,1.741400004068399,0.8706205524619527,0.8694414898485671
RF Price,Test,0.06640035601930568,0.10498551168774631,1.7101174917836568,0.8803532717983189,0.8792629055406099
RF Load,Validation,0.02656886707543344,0.0355652949549116,0.25947874264492576,0.9550557727697834,0.9545984455453356
RF Load,Test,0.026070747820970762,0.03546194308598135,0.2545134079481407,0.956469739923518,0.9560268004350205
GB Price,Validation,0.1024108727290756,0.14274255114161924,2.615858235700093,0.7535376837109611,0.751291619840118
GB Price,Test,0.10264592336757242,0.14527170138352835,2.6423254390335584,0.7709110538694692,0.7688233172415709
GB Load,Validation,0.031014970635511938,0.04018316563018426,0.3028022905917162,0.9426267591071534,0.9420429612173665
GB Load,Test,0.031032755226380923,0.04066375184801606,0.30296234712743325,0.9427624418432033,0.9421800245847658
RF Price Tuned,Validation,0.06851934234176088,0.10407237979673012,1.7509588565576182,0.8689869406461828,0.8677929905784648
RF Price Tuned,Test,0.0665758302515618,0.10512888730961165,1.7142901616812547,0.8800262526233869,0.8789329061699022
RF Load Tuned,Validation,0.02656038480770328,0.03553044122487572,0.2593850424773479,0.955143819636708,0.9546873883277482
RF Load Tuned,Test,0.026087273077313906,0.03545478014477162,0.25466187071545743,0.9564873234610233,0.9560445628927319
GB Price Tuned,Validation,0.08005385564816034,0.1142357236764044,2.0431890117257954,0.8421489440101352,0.8407104135314333
GB Price Tuned,Test,0.079077056322574,0.11441278207399387,2.03276507352947,0.8579009479523094,0.8566059688589901
GB Load Tuned,Validation,0.024673789144341353,0.03214390634269662,0.24080591153238523,0.9632871249672421,0.9629135553616457
GB Load Tuned,Test,0.024461790373966667,0.03246837446700334,0.23874615371579466,0.9635088712432175,0.9631375580032362
